"ID"	"ID_SwissFIR"	"Category"	"Density"	"Matrix_unit_Density"	"Energy_kilojoules"	"Energy_kilocalories"	"Fat_total"	"Fatty_acids_saturated"	"Fatty_acids_monounsaturated"	"Fatty_acids_polyunsaturated"	"Cholesterol"	"Carbohydrates_available"	"Sugars"	"Starch"	"Dietary_fibres"	"Protein"	"Salt_NaCl"	"Alcohol"	"Water"	"Vitamin_A_activity_RE"	"Vitamin_A_activity_RAE"	"All-trans_retinol_equivalents"	"Beta-carotene_activity"	"Beta-carotene"	"Vitamin_B1_thiamine"	"Vitamin_B2_riboflavin"	"Vitamin_B6_pyridoxine"	"Vitamin_B12_cobalamin"	"Niacin"	"Folate"	"Panthotenic_acid"	"Vitamin_C_ascorbic_acid"	"Vitamin_D_calciferol"	"Vitamin_E_activity"	"Potassium_K"	"Sodium_Na"	"Chloride_Cl"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Iron_Fe"	"Iodide_I"	"Zinc_Zn"	"Selenium_Se"	"Record_has_changed"	"FileVersion"	"Branded"	"Language"
23	812064	57	0	0	462.00	109.00	0.90	0.30	0.30	0.30	56.00	0.00	0.00	0.00	0.00	25.20	0.10	0.00	70.70	5.00	5.00	0.00	0.00	0.00	0.09	0.16	0.88	0.40	0.00	12.00	0.87	0.00	1.50	0.57	350.00	31.00	80.00	3.90	29.00	220.00	0.40	0.60	0.60	17.00	0	200	0	0.00
24	812065	57	0	0	682.00	163.00	10.20	3.20	5.00	1.80	80.00	0.00	0.00	0.00	0.00	17.90	0.20	0.00	65.60	30.00	30.00	30.00	0.00	0.00	0.14	0.15	0.57	0.40	4.47	10.00	0.87	0.00	1.50	0.62	300.00	63.00	100.00	5.70	20.00	180.00	0.50	8.00	1.00	28.00	0	200	0	0.00
25	812066	57	0	0	607.00	145.00	7.50	2.40	3.30	1.90	87.00	0.00	0.00	0.00	0.00	19.40	0.10	0.00	68.90	12.00	12.00	12.00	0.00	0.00	0.08	0.14	0.33	0.40	0.00	10.00	0.87	0.00	1.50	0.62	290.00	57.00	100.00	4.80	20.00	180.00	0.80	8.00	1.00	17.00	0	200	0	0.00
26	812067	57	0	0	564.00	135.00	6.20	1.90	3.00	1.50	86.00	0.00	0.00	0.00	0.00	19.70	0.20	0.00	72.90	5.00	5.00	0.00	0.00	0.00	0.14	0.27	0.38	0.40	0.00	10.00	0.87	0.00	1.50	0.62	300.00	76.00	80.00	5.60	20.00	190.00	0.50	5.00	0.90	0.00	0	200	0	0.00
27	812068	57	0	0	509.00	121.00	4.30	1.30	1.80	0.90	94.00	0.00	0.00	0.00	0.00	20.60	0.20	0.00	72.40	5.00	5.00	0.00	0.00	0.00	0.14	0.15	0.41	0.40	0.00	12.00	0.87	0.00	1.50	0.62	330.00	72.00	83.00	5.70	20.00	200.00	1.30	5.00	1.80	0.00	0	200	0	0.00
28	812069	76	0	0	444.00	105.00	1.90	0.50	0.30	0.50	65.00	0.00	0.00	0.00	0.00	22.00	0.10	0.00	74.00	0.00	0.00	0.00	0.00	0.00	0.26	0.60	0.39	6.30	0.00	6.00	0.69	0.00	0.30	0.76	310.00	45.00	40.00	3.70	20.00	180.00	2.70	0.80	4.70	0.00	0	200	0	0.00
29	812070	76	0	0	445.00	105.00	1.70	0.70	0.50	0.50	75.00	0.00	0.00	0.00	0.00	22.50	0.10	0.00	72.50	0.00	0.00	0.00	0.00	0.00	0.26	0.60	0.71	6.30	6.40	6.00	0.69	0.00	0.30	0.76	330.00	44.00	40.00	4.20	22.00	200.00	2.80	0.80	2.10	0.00	0	200	0	0.00
30	812071	34	0	0	561.00	133.00	4.50	2.20	2.20	0.40	46.00	0.00	0.00	0.00	0.00	23.20	0.10	0.00	71.00	7.00	6.00	0.00	10.00	10.00	0.05	0.10	0.73	1.40	0.00	6.00	0.69	0.00	0.50	0.90	360.00	42.00	54.00	4.90	20.00	180.00	1.30	3.00	3.40	9.00	0	200	0	0.00
31	812072	34	0	0	876.00	210.00	13.70	5.60	6.70	0.50	55.00	0.00	0.00	0.00	0.00	21.70	0.10	0.00	63.20	7.00	6.00	0.00	10.00	10.00	0.05	0.10	0.53	1.40	7.00	5.00	0.69	0.00	0.50	0.90	310.00	45.00	54.00	4.40	18.00	170.00	1.30	3.00	3.30	30.00	0	200	0	0.00
32	812074	34	0	0	692.00	165.00	9.00	4.00	3.30	0.70	58.00	0.00	0.00	0.00	0.00	21.10	0.10	0.00	68.60	7.00	6.00	0.00	10.00	10.00	0.04	0.13	0.41	1.40	0.00	6.00	0.72	0.00	0.50	0.26	330.00	45.00	54.00	4.40	18.00	170.00	1.50	3.00	5.00	11.00	0	200	0	0.00
