"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
278	1181	"Curd cheese puff pastry (with vegetable fat), raw"	"E"	1	200
279	70	"Curds min. 40% fidm"	"E"	1	200
280	13393	"Curds, plain, half fat"	"E"	1	200
281	71	"Curds with at most 10% fidm"	"E"	1	200
282	392	"Currant, black, raw"	"E"	1	200
283	391	"Currant, red, raw"	"E"	1	200
284	384	"Date, dried"	"E"	1	200
285	487	"Deer (average), raw"	"E"	1	200
286	12	"Deer, entrecôte, raw"	"E"	1	200
287	13419	"Dough for french pizza from Alsace"	"E"	1	200
288	709	"Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)"	"E"	1	200
289	47	"Drinking water (average Switzerland)"	"E"	1	200
290	10535	"Dulce de Leche"	"E"	1	200
291	423	"Durum wheat semolina"	"E"	1	200
292	455	"Edible boletus, fresh"	"E"	1	200
293	1040	"Edible boletus, stewed (without addition of fat and salt)"	"E"	1	200
294	517	"Egg liqueur, 16.5 vol%"	"E"	1	200
295	517	"Egg nogg"	"E"	0	200
296	1659	"Eggplant piccata, prepared"	"E"	1	200
297	349	"Eggplant, raw"	"E"	1	200
298	1658	"Eggplant slices, breaded, prepared"	"E"	1	200
299	1003	"Eggplant, stewed (without addition of fat and salt)"	"E"	1	200
300	290	"Egg, raw"	"E"	1	200
301	411	"Egg white, raw"	"E"	1	200
302	410	"Egg yolk, raw"	"E"	1	200
303	436	"Elderberry, raw"	"E"	1	200
304	555	"Emmentaler cheese, at least 45% fidm"	"E"	1	200
305	467	"Endive, raw"	"E"	1	200
306	13319	"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and sa"	"E"	1	200
307	1101	"Escalope (average of beef, veal, pork, poultry), raw"	"E"	1	200
308	1190	"Espresso with coffee cream, no sugar added"	"E"	1	200
309	765	"Eurasian perch, raw"	"E"	1	200
310	13384	"Ewe's milk"	"E"	1	200
311	1268	"Farmers' bread"	"E"	1	200
312	352	"Fennel, raw"	"E"	1	200
313	1008	"Fennel, steamed (without addition of salt)"	"E"	1	200
314	539	"Feta, cow milk"	"E"	1	200
315	549	"Feta, ewe-/goat milk"	"E"	1	200
316	387	"Fig, dried"	"E"	1	200
317	386	"Fig, fresh"	"E"	1	200
